species,sal_adapt,sal_exp,time,repl,id,m63_cor_n_m,m64_n_m,m65_n_m,conc_n_m,mp64_rt,d3_p_in_fraction_n_m_m66,d3_p_taken_up,up_dmspp,d3_p_lost_demethylated,x12c_dic_18,x13c_dic_19,x13c_sample_20,x13c_added,p_12c,q_13c,probability_13c_dms,rm,u_dmsp_h_1,vol_filtered_m_l,x12c_dic_29,x13c_dic_30,x13c_sample_31,x12c_poc_mg,x13c_poc_mg,x13_12c_poc,u_poc_h_1,total_poc_mg_l,dmsp_c_poc_mol_mol,dms_puptake_c_poc_mol_mol,dmsp_uptake_of_total_dmsp,u_dmsp_u_poc,yield,cell_dens_avr,cell_size_avr,salinity,diff_sal
Chryso,25,25,24,C,DMSPp,1642.8388286099912,98.61878942321076,75.10266076991212,1816.560278803114,5.428875142430627,85.99885371606011,58.90332446305487,4.520167191975223,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014106962088578,30,NA,NA,NA,0.1821391238729528,0.007134236918463126,3.769276821963994,0.017135914263169617,6.309112026380531,1.7275587479259786,0.081785379644365,4.520167191975223,0.8232395349280095,NA,NA,NA,NA,NA
Chryso,25,45,24,A,DMS,13.913853690454088,0.43125113418977684,0.4388733452276694,14.783978169871535,2.9170168491497726,3.137270433469437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017038708057495963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.505869724303533,NA,NA,NA,NA,NA,NA
Chryso,25,45,24,B,DMS,28.306909214311204,0.6698627249647782,1.0626216909080337,30.03939363018402,2.2299475589004247,8.105866766984812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001195384846965234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.24999720171378,NA,NA,NA,NA,NA,NA
Chryso,25,45,24,C,DMS,8.772188332385518,0.23803578033675651,0.34500099522126737,9.355225107943543,2.5444153143320922,2.687745608865754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8389672060256798e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.317961839052398,NA,NA,NA,NA,NA,NA
Chryso,25,45,24,A,DMS(P)t,1536.9100577696483,110.14478446544929,69.62084926058596,1716.6756914956836,6.416167305863329,87.50792776430113,57.63468511733403,NA,37.760811467606445,12595.734033333332,1290.8780517566665,9.295845839480728,8.195845839480729,0.9180415416051927,0.08195845839480728,15.048253898470785,13.563174656059514,0.01930452337055766,NA,12595.734033333332,1290.8780517566665,9.295845839480728,NA,NA,NA,NA,NA,NA,NA,4.850278365801477,NA,0.576,153000,5.098333333333334,41.5,3.5
Chryso,25,45,24,B,DMS(P)t,1685.1872121632703,114.53959357089819,73.51672560787311,1873.2435313420415,6.114506291066116,101.43198616933431,63.446882978196896,NA,24.498956718834833,13250.49215,1193.693115235,8.264177544911732,7.164177544911732,0.9283582245508827,0.07164177544911732,13.301846291923114,12.279051415950933,0.020387500917848238,NA,13250.49215,1193.693115235,8.264177544911732,NA,NA,NA,NA,NA,NA,NA,5.136640692095377,NA,0.576,125100,5.28,43.1,1.8999999999999986
Chryso,25,45,24,C,DMS(P)t,2017.4865601394038,145.3715906330035,88.86849936398336,2251.726650136391,6.456005244872777,101.51367441796376,66.93141654074286,NA,27.87158857092949,12083.34035,1242.9143066400002,9.326808909663901,8.226808909663902,0.917731910903361,0.08226808909663902,15.100010122605298,13.601230703217244,0.01946718040789935,NA,12083.34035,1242.9143066400002,9.326808909663901,NA,NA,NA,NA,NA,NA,NA,4.313782717334147,NA,0.578,339000,5.691666666666666,43.2,1.7999999999999972
Chryso,25,45,24,A,DMSPd,3.240485874102679,0.24675831741976983,0.07550541179758748,3.5627496033200363,6.926063992536045,0.22401705952401768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022573607047720854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.915787252541446,NA,NA,NA,NA,NA,NA
Chryso,25,45,24,B,DMSPd,15.308085979947398,1.3019245579881817,0.8124553309071044,17.422465868842686,7.472676759932514,0.693670254182029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03137931491232581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8290187790122,NA,NA,NA,NA,NA,NA
Chryso,25,45,24,C,DMSPd,36.695160865110246,2.2252933227955896,1.576826150324704,40.49728033823054,5.494920409988253,1.1060606596134326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01389341591544583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65858614497031,NA,NA,NA,NA,NA,NA
Chryso,25,45,24,A,DMSPp,1938.2640156683299,133.97353773117464,88.24161713562226,2160.4791705351267,6.201102957081085,90.64255522698784,62.083941936293044,4.026550594295424,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017995085172979465,30,NA,NA,NA,0.1353168974314035,0.003284952581254503,2.3700640222006424,0.007012213194268062,4.620061667088599,2.805779653452009,0.11771603293439276,4.026550594295424,2.566249010752988,NA,NA,NA,NA,NA
Chryso,25,45,24,B,DMSPp,1576.2118163039256,109.6843875018902,72.93466496951966,1758.8308687753354,6.236210055732241,89.19782388690695,61.094399922539,4.826647131674666,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021268185364673346,30,NA,NA,NA,0.212248562832272,0.004701254113843937,2.1669776817611197,0.006715344759457279,7.231660564870531,1.4592755174261893,0.07400609286354456,NA,3.1671025280900396,NA,NA,NA,NA,NA
Chryso,25,45,24,C,DMSPp,2044.8519428264574,147.4639785853532,94.35055713807598,2286.6664785498865,6.448862567787718,95.09402830583112,65.13289609988433,3.9925940510017752,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019423051546339762,30,NA,NA,NA,0.17294234971081382,0.005277164027964402,2.9610472597850883,0.010682552775476374,5.940650457959274,2.309511217398305,0.0960440567700033,NA,1.8182031911818584,NA,NA,NA,NA,NA
Chryso,45,NA,0,A,DMS,10.627909909524814,0.2954878134061894,0.3143886732343532,11.237786396165356,2.6294129732437166,-0.004855920742539631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,45,NA,0,B,DMS,10.6588451832266,0.2887042967385671,0.4960574984761988,11.443606978441366,2.5228435167553176,0.011261901905738758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,45,NA,0,C,DMS,10.07467411388242,0.3201335069000864,0.41344302438498,10.808250645167487,2.961936370741202,0.058911835727902984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chryso,45,NA,0,A,DMS(P)t,11751.441216219535,229.28953615392047,388.62413044157427,12369.35488281503,1.8536903365306188,-3.018909155510574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,0.27803772078440536,0.0030772945025413336,1.0946745407392064,NA,9.370500509564891,7.920188384935729,NA,NA,NA,0.613,303500,4.53,NA,NA
